,"Note: Please use backtick (`) instead of colon (,)",,,,,,,
,,Configuration Structure,,,,,,
,,,,,,,,
default_flavors,Default,Id,cpu,memory,disk,,,
default_flavors,Default,nano,1,128,5,,,
default_flavors,Default,micro,2,512,10,,,
default_flavors,Default,small,2,1024,10,,,
default_flavors,Default,medium,2,2048,20,,,
default_flavors,Default,large,3,4096,30,,,
default_flavors,Default,xlarge,4,8192,40,,,
,,,,,,,,
,,,,,,,,
default_boxes,Default,Id,Source,Provider,,,,
default_boxes,Default,debian8,wholebits/debian8-64,default,,,,
default_boxes,Default,debian7,wholebits/debian7-64,default,,,,
default_boxes,Default,ubuntu1604,wholebits/ubuntu16.10-64,default,,,,
default_boxes,Default,ubuntu1404,wholebits/ubuntu14.04-64,default,,,,
default_boxes,Default,centos7,wholebits/centos7,default,,,,
default_boxes,Default,centos6,wholebits/centos5-64,default,,,,
default_boxes,Default,archlinux,wholebits/arch-64,default,,,,
default_boxes,Default,,,,,,,
default_boxes,Default,debian8,minimal/jessie64,VirtualBox,,,,
default_boxes,Default,debian7,minimal/wheezy64,VirtualBox,,,,
default_boxes,Default,ubuntu1604,minimal/xenial64,VirtualBox,,,,
default_boxes,Default,ubuntu1404,minimal/trusty64,VirtualBox,,,,
default_boxes,Default,centos7,minimal/centos7,VirtualBox,,,,
default_boxes,Default,centos6,minimal/centos6,VirtualBox,,,,
default_boxes,Default,,,,,,,
default_boxes,Default,scratch,scratch,Docker,,,,
default_boxes,Default,alpine,alpine:latest,Docker,,,,
default_boxes,Default,debian8,debian:8,Docker,,,,
default_boxes,Default,debian7,debian:7,Docker,,,,
default_boxes,Default,ubuntu1604,ubuntu:xenial,Docker,,,,
default_boxes,Default,ubuntu1404,ubuntu:trusty,Docker,,,,
default_boxes,Default,ubuntu1204,ubuntu:precise,Docker,,,,
default_boxes,Default,centos7,centos:7,Docker,,,,
default_boxes,Default,centos6,centos:6,Docker,,,,
default_boxes,Default,centos5,centos:5,Docker,,,,
default_boxes,Default,archlinux,archlinuxjp/archlinux,Docker,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
default_provisionners,Default,id,type,Description,,,,
default_provisionners,Default,test_shell_script,shell,Push a script on target,,,,
default_provisionners,Default,test_shell_cli,shell,Execute a command on target,,,,
default_provisionners,Default,install_python_for_ansible,shell,Install python on target,,,,
default_provisionners,Default,test_ansible,ansible,Run an Ansible playbook,,,,
